Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,training_time
InceptionV3,rf,8,0.8528896672504378,0.8437544641521324,0.845035138990363,0.9517278815516828,0.8428502555681073,0.96451788355362,751.6157870292664
InceptionV3,rf,9,0.8598949211908932,0.850138843728349,0.851060660212584,0.9540679794454576,0.8496994258206705,0.9668844570298231,751.6157870292664
InceptionV3,rf,10,0.8633975481611208,0.8602986111826643,0.8560240158309416,0.9544388275720046,0.8573801952009934,0.9681838641477959,751.6157870292664
Xception,softmax,1,0.8444055944055944,0.8592784879577829,0.8389124896475031,0.9484614937258724,0.8405139887480245,0.9746834196102038,4884.641895294189
Xception,softmax,2,0.8706293706293706,0.8779882998277047,0.8657323719666483,0.9570820496202626,0.8683282887728184,0.9770706219314287,4884.641895294189
Xception,softmax,3,0.8441330998248686,0.8591856714652937,0.8400415124221491,0.9498196751641589,0.838297420144456,0.9770866441896872,4884.641895294189
Xception,softmax,4,0.8791593695271454,0.882061422627339,0.8786135485180071,0.9606431853693306,0.8761921378182602,0.9802367718189524,4884.641895294189
Xception,softmax,5,0.8896672504378283,0.8944797205747009,0.8882037613232141,0.9635507405546149,0.8889439894049321,0.9829428102366338,4884.641895294189
Xception,softmax,6,0.8791593695271454,0.8766128065382381,0.8767545040527422,0.9606154154225153,0.8729426205647911,0.9831295034439786,4884.641895294189
Xception,softmax,7,0.882661996497373,0.8992877052675857,0.8886640319928657,0.9604324807176958,0.8870491178927712,0.981016197047494,4884.641895294189
Xception,softmax,8,0.882661996497373,0.892389753941567,0.8763523665389337,0.9614829590032528,0.8789602980683975,0.9793096536005517,4884.641895294189
Xception,softmax,9,0.8528896672504378,0.8593858724243442,0.8442266359654705,0.9518561636321166,0.8441293928962896,0.9787101090319638,4884.641895294189
Xception,softmax,10,0.8441330998248686,0.8767426383264487,0.8445741430262093,0.9482808125825875,0.846490144999107,0.9809478621047848,4884.641895294189
Xception,svm,1,0.9090909090909091,0.9106378522333559,0.9087544778445933,0.9700326865094944,0.9080510172761369,0.9836701990302814,1071.0329840183258
Xception,svm,2,0.9143356643356644,0.911278283353,0.9111213355210797,0.9717049365005254,0.9105620704821489,0.9864620206294156,1071.0329840183258
Xception,svm,3,0.9054290718038529,0.90043108027135,0.9010602792433031,0.969312304431519,0.8989237756601143,0.9852225249653722,1071.0329840183258
Xception,svm,4,0.9316987740805605,0.9262858271647273,0.922902097902098,0.9775408164546153,0.9242240431961152,0.9880339048430187,1071.0329840183258
Xception,svm,5,0.9246935201401051,0.9252790005149196,0.9223962679984725,0.9750459384927558,0.922803109244021,0.9879315745055648,1071.0329840183258
Xception,svm,6,0.9264448336252189,0.9241732415165874,0.9208015229644241,0.9756881995076949,0.9218716763341768,0.9910231273542748,1071.0329840183258
Xception,svm,7,0.9211908931698775,0.9237735961759056,0.9223640148598622,0.9733251457128134,0.9226176022786081,0.9901105672224926,1071.0329840183258
Xception,svm,8,0.9054290718038529,0.9016558428977053,0.9005011779265512,0.96884049742721,0.9004978908061423,0.9841840561102406,1071.0329840183258
Xception,svm,9,0.9036777583187391,0.9018609568608745,0.9030651155120205,0.969011638688889,0.8993278368059464,0.9878152552459172,1071.0329840183258
Xception,svm,10,0.9229422066549913,0.923819441292095,0.9171569509519624,0.9742852326409788,0.9194269303898484,0.9895586540297634,1071.0329840183258
Xception,rf,1,0.8601398601398601,0.8595828980695753,0.8593027798547572,0.953808304713449,0.8583586562881513,0.9691223175743349,880.8539469242096
Xception,rf,2,0.8671328671328671,0.8640995051254861,0.8621391297937178,0.9558997562796795,0.8607015113398351,0.9698284833246218,880.8539469242096
Xception,rf,3,0.8441330998248686,0.8354875598573304,0.8360709508587493,0.9490239241624163,0.8340557841310853,0.9692983591613072,880.8539469242096
Xception,rf,4,0.8791593695271454,0.8695795327057216,0.8681541653675412,0.9600405830771508,0.8679123025972497,0.9757088915971968,880.8539469242096
Xception,rf,5,0.8756567425569177,0.8792805558034894,0.872447951283303,0.9586582259873793,0.8731477279239012,0.9749586508129773,880.8539469242096
Xception,rf,6,0.8844133099824869,0.8805045669903683,0.8758984938793142,0.9616272429427042,0.8767687786279694,0.9746281478077286,880.8539469242096
Xception,rf,7,0.851138353765324,0.8524300907288349,0.853432574783425,0.9501090860276641,0.849977497171705,0.9762469372481503,880.8539469242096
Xception,rf,8,0.8563922942206655,0.8499603251873228,0.8496698202295219,0.952665755700287,0.848289903571492,0.9693522424711363,880.8539469242096
Xception,rf,9,0.851138353765324,0.8434598411732558,0.845325680607548,0.9512139561111446,0.8436699271151307,0.9707333337322065,880.8539469242096
Xception,rf,10,0.8686514886164624,0.8650775125486436,0.8634163571235776,0.9563067829115354,0.8631699685456136,0.9742636382877923,880.8539469242096
